id,lat,lng,brightness,frp,confidence,timestamp,satellite,classification
firms-2026-09-09-1824-37999,-29.20072,115.27158,331.87,6.73,50,2026-09-09T18:24:00Z,N20,Routine Flare
firms-2026-09-09-1824-38001,-29.20107,115.27739,344.04,6.73,50,2026-09-09T18:24:00Z,N20,Routine Flare
firms-2026-09-09-1824-38003,-29.20168,115.27705,356.22,11.13,50,2026-09-09T18:24:00Z,N20,Routine Flare
firms-2026-09-09-1824-38005,-29.20136,115.27118,306.22,7.54,50,2026-09-09T18:24:00Z,N20,Routine Flare
firms-2026-09-09-1824-38008,-30.64676,115.70621,298.28,0.72,50,2026-09-09T18:24:00Z,N20,Routine Flare
firms-2026-09-09-1824-38314,-31.59929,116.5472,298.37,1.26,50,2026-09-09T18:24:00Z,N20,Routine Flare
firms-2026-09-09-1832-40249,-53.09893,73.50079,334.05,4.85,50,2026-09-09T18:32:00Z,N20,Routine Flare
firms-2026-09-09-1832-40250,-53.10072,73.50037,320.73,6.11,50,2026-09-09T18:32:00Z,N20,Routine Flare
firms-2026-09-09-1913-40251,19.90435,-90.45647,332.63,23.4,50,2026-09-09T19:13:00Z,N20,Industrial Fire
firms-2026-09-09-1913-40252,19.90838,-90.45321,348.91,23.4,50,2026-09-09T19:13:00Z,N20,Industrial Fire
firms-2026-09-09-1913-40253,19.90774,-90.45708,348.22,23.4,50,2026-09-09T19:13:00Z,N20,Industrial Fire
firms-2026-09-09-1913-40254,19.91901,-90.43115,340.94,6.41,50,2026-09-09T19:13:00Z,N20,Routine Flare
firms-2026-09-09-1913-40255,19.60987,-99.21311,325.29,5.06,50,2026-09-09T19:13:00Z,N20,Routine Flare
firms-2026-09-09-1913-40256,22.33191,-83.28899,339.33,5.68,50,2026-09-09T19:13:00Z,N20,Routine Flare
firms-2026-09-09-1913-40257,22.4353,-83.12872,334.91,8.5,50,2026-09-09T19:13:00Z,N20,Routine Flare
firms-2026-09-09-1913-40258,22.7781,-80.31973,341.94,3.48,50,2026-09-09T19:13:00Z,N20,Routine Flare
firms-2026-09-09-1913-40259,22.78315,-80.32033,353.38,6.68,50,2026-09-09T19:13:00Z,N20,Routine Flare
firms-2026-09-09-1913-40260,22.78284,-80.32348,336.71,3.69,50,2026-09-09T19:13:00Z,N20,Routine Flare
firms-2026-09-09-1913-40261,22.9929,-80.99246,342.61,6.69,50,2026-09-09T19:13:00Z,N20,Routine Flare
firms-2026-09-09-1913-40262,22.99229,-80.99821,333.64,6.69,50,2026-09-09T19:13:00Z,N20,Routine Flare
firms-2026-09-09-1913-40263,22.99897,-80.98149,367,10.6,50,2026-09-09T19:13:00Z,N20,Industrial Fire
firms-2026-09-09-1913-40264,22.99836,-80.98724,335.11,10.6,50,2026-09-09T19:13:00Z,N20,Routine Flare
firms-2026-09-09-1913-40265,22.99165,-80.99387,341,5.46,50,2026-09-09T19:13:00Z,N20,Routine Flare
firms-2026-09-09-1913-40266,22.99108,-80.99963,329.46,3.7,50,2026-09-09T19:13:00Z,N20,Routine Flare
firms-2026-09-09-1913-40267,22.9982,-80.97713,327.69,8.78,50,2026-09-09T19:13:00Z,N20,Routine Flare
firms-2026-09-09-1913-40268,22.99763,-80.98288,354.12,8.78,50,2026-09-09T19:13:00Z,N20,Routine Flare
firms-2026-09-09-1913-40269,22.99707,-80.98863,334.28,7.7,50,2026-09-09T19:13:00Z,N20,Routine Flare
firms-2026-09-09-1913-40270,23.13853,-82.14272,341.16,8.08,50,2026-09-09T19:13:00Z,N20,Routine Flare
firms-2026-09-09-1913-40271,20.52324,-100.92204,330.87,6.52,50,2026-09-09T19:13:00Z,N20,Routine Flare
firms-2026-09-09-1913-40272,20.57496,-101.17056,367,12.26,50,2026-09-09T19:13:00Z,N20,Industrial Fire
firms-2026-09-09-1913-40273,20.86915,-101.36694,337.78,24.09,50,2026-09-09T19:13:00Z,N20,Industrial Fire
firms-2026-09-09-1913-40274,20.8679,-101.37232,356.01,21.36,50,2026-09-09T19:13:00Z,N20,Industrial Fire
firms-2026-09-09-1913-40275,20.87533,-101.36858,356.42,15.43,50,2026-09-09T19:13:00Z,N20,Industrial Fire
firms-2026-09-09-1913-40276,20.87407,-101.37396,356.02,20.25,50,2026-09-09T19:13:00Z,N20,Industrial Fire
firms-2026-09-09-1913-40277,22.26206,-97.80475,342.46,19.34,50,2026-09-09T19:13:00Z,N20,Industrial Fire
firms-2026-09-09-1915-40278,23.25725,-99.0701,353.91,5.14,50,2026-09-09T19:15:00Z,N20,Routine Flare
firms-2026-09-09-1915-40279,23.62523,-97.95613,342.33,8.11,50,2026-09-09T19:15:00Z,N20,Routine Flare
firms-2026-09-09-1915-40280,23.6288,-97.95815,330.74,4.93,50,2026-09-09T19:15:00Z,N20,Routine Flare
firms-2026-09-09-1915-40281,23.78256,-99.14648,338.12,2.85,50,2026-09-09T19:15:00Z,N20,Routine Flare
firms-2026-09-09-1915-40282,24.03052,-98.36515,344.07,10.03,50,2026-09-09T19:15:00Z,N20,Routine Flare
firms-2026-09-09-1915-40283,24.10043,-98.50061,356.43,11.88,50,2026-09-09T19:15:00Z,N20,Routine Flare
firms-2026-09-09-1915-40284,24.09977,-98.50366,356.48,13.64,50,2026-09-09T19:15:00Z,N20,Routine Flare
firms-2026-09-09-1915-40285,24.10533,-98.50185,335.46,11.88,50,2026-09-09T19:15:00Z,N20,Routine Flare
firms-2026-09-09-1915-40286,24.10467,-98.50489,354.91,13.64,50,2026-09-09T19:15:00Z,N20,Routine Flare
firms-2026-09-09-1915-40287,24.104,-98.50794,331.54,13.64,50,2026-09-09T19:15:00Z,N20,Routine Flare
firms-2026-09-09-1915-40288,24.10824,-98.51225,330.73,7.44,50,2026-09-09T19:15:00Z,N20,Routine Flare
firms-2026-09-09-1915-40289,24.14311,-98.76028,355.33,30.06,50,2026-09-09T19:15:00Z,N20,Industrial Fire
firms-2026-09-09-1915-40290,24.14242,-98.76341,343.25,20.78,50,2026-09-09T19:15:00Z,N20,Industrial Fire
firms-2026-09-09-1915-40291,24.14739,-98.76467,351,20.78,50,2026-09-09T19:15:00Z,N20,Industrial Fire
firms-2026-09-09-1915-40292,24.1467,-98.76781,347.2,20.78,50,2026-09-09T19:15:00Z,N20,Industrial Fire
firms-2026-09-09-1915-40293,24.23603,-98.78828,337.93,2.64,50,2026-09-09T19:15:00Z,N20,Routine Flare
firms-2026-09-09-1915-40294,24.96609,-98.91357,367,9.58,50,2026-09-09T19:15:00Z,N20,Industrial Fire
firms-2026-09-09-1915-40295,24.96542,-98.91669,354.37,9.58,50,2026-09-09T19:15:00Z,N20,Routine Flare
firms-2026-09-09-1915-40296,24.96681,-98.91265,355.29,11.72,50,2026-09-09T19:15:00Z,N20,Routine Flare
firms-2026-09-09-1915-40297,24.96612,-98.91576,354.48,18.84,50,2026-09-09T19:15:00Z,N20,Industrial Fire
firms-2026-09-09-1915-40298,27.75677,-81.69183,333.23,6.05,50,2026-09-09T19:15:00Z,N20,Routine Flare
firms-2026-09-09-1915-40299,25.36451,-98.21508,340.64,7.8,50,2026-09-09T19:15:00Z,N20,Routine Flare
firms-2026-09-09-1915-40300,25.44805,-98.24459,345.06,17.13,50,2026-09-09T19:15:00Z,N20,Industrial Fire
firms-2026-09-09-1915-40301,25.45273,-98.2458,336.41,123.95,50,2026-09-09T19:15:00Z,N20,Industrial Fire
firms-2026-09-09-1915-40302,25.48235,-99.46733,343.9,2.63,50,2026-09-09T19:15:00Z,N20,Routine Flare
